Order_Date,Category,Sub-Category,Product_Name,Customer_Name,Region,Sales,Profit,Profit_Margin,Quantity
2023-11-02,Books,Comics,Comics Aperiam,Vivaan Goyal,West,38159.2,8535.56,22.368288643367787,1
2025-07-10,Beauty,Face Cream,Face Cream Repellat,Nayantara Bhagat,East,25431.3,3959.79,15.57053709405339,1
2025-06-21,Electronics,Headphones,Headphones Itaque,Lakshay Ramakrishnan,North,96224.0,20551.56,21.358039574326572,5
2024-01-13,Groceries,Rice,Rice Impedit,Dhanush Vaidya,South,124936.4,19544.76,15.643767548928894,2
2025-04-22,Beauty,Foundation,Foundation Illo,Kimaya Rege,North,8276.0,537.47,6.494320927984535,1
2024-12-12,Furniture,Table,Table Error,Anika Wable,East,2193.0,214.1,9.762881896944824,3
2025-08-27,Toys,RC Car,RC Car Amet,Kavya Bhatnagar,North,107336.0,22034.77,20.528778788104642,2
2024-04-22,Groceries,Sugar,Sugar Excepturi,Adira Seshadri,North,337675.25,80309.87,23.78316740714636,5
2025-01-07,Groceries,Wheat,Wheat Consequuntur,Zaina Sidhu,West,45981.0,9818.01,21.3523194362889,2
2023-12-11,Sports,Cricket Bat,Cricket Bat Voluptatum,Bhamini Kuruvilla,North,291243.4,40522.22,13.91352387727928,4
2024-06-24,Furniture,Sofa,Sofa Deleniti,Kavya Saran,West,193795.2,21970.55,11.336993898713693,4
2025-07-11,Toys,RC Car,RC Car Quam,Mannat Batta,East,61056.0,10008.03,16.39155856918239,4
2023-12-31,Toys,Action Figure,Action Figure Laboriosam,Shayak Bala,South,77233.6,13625.93,17.642489797186716,2
2025-03-08,Beauty,Lipstick,Lipstick Accusantium,Hrishita Kumer,South,24588.8,4643.94,18.88640356585112,4
2024-12-02,Sports,Dumbbells,Dumbbells Quas,Prisha Gaba,West,156934.0,9444.77,6.018307059018442,2
2023-10-19,Sports,Yoga Mat,Yoga Mat Quaerat,Arhaan Gole,North,129671.2,8392.19,6.47189969708,4
2025-09-30,Toys,Puzzle,Puzzle Assumenda,Shaan Bala,East,121814.0,24378.77,20.013110151542516,2
2023-11-16,Kitchen,Refrigerator,Refrigerator Libero,Taran Kala,North,40959.0,7785.75,19.008642789130594,5
2024-09-18,Toys,Board Game,Board Game Consequuntur,Nitara Hayre,East,307128.0,47122.1,15.34282123414342,5
2025-07-01,Toys,Doll,Doll Laborum,Lavanya Tata,North,273405.25,26969.18,9.864177809314196,5
2024-02-11,Electronics,Camera,Camera A,Badal Dada,West,137260.0,16783.04,12.227189275826898,2
2024-10-23,Groceries,Rice,Rice Incidunt,Bhamini Sane,South,256420.0,61655.17,24.044602605101005,5
2023-11-03,Books,Textbook,Textbook Consequuntur,Eva Babu,East,136404.0,33860.63,24.823780827541714,2
2023-11-20,Books,Biography,Biography Magni,Prerak Saha,West,30775.95,5230.85,16.996550878201973,1
2025-10-01,Beauty,Perfume,Perfume Quisquam,Advik Sule,North,150776.1,23835.95,15.808838403433967,3
2025-09-03,Sports,Tennis Racket,Tennis Racket Sapiente,Divij Chawla,West,287432.0,41217.09,14.339770797962647,5
2025-01-22,Toys,Puzzle,Puzzle Dolorem,Nirvaan Ben,North,63750.6,4232.48,6.639121827872992,1
2024-04-28,Clothing,Shoes,Shoes Deleniti,Shlok Dayal,West,33485.0,6131.25,18.310437509332537,1
2024-05-04,Beauty,Perfume,Perfume Rerum,Vritika Cherian,East,40698.0,3935.7,9.670499778858911,5
2025-05-06,Furniture,Sofa,Sofa Omnis,Eshani Arya,East,245651.0,51927.61,21.138774114495767,4
2025-09-02,Books,Biography,Biography Illum,Elakshi Bajwa,West,64880.0,11967.13,18.445021578298395,5
2024-04-15,Clothing,Women's Wear,Women's Wear Odio,Jayant Kala,West,66475.2,8946.95,13.459079476255809,3
2023-12-09,Sports,Tennis Racket,Tennis Racket Ea,Biju Mannan,East,48043.7,10879.68,22.645383265651898,2
2024-05-19,Furniture,Bed,Bed Molestias,Alisha Sampath,North,212310.0,11609.02,5.467957232348923,5
2023-12-05,Home Decor,Wall Art,Wall Art Excepturi,Rhea Krishnamurthy,East,251704.0,40267.43,15.997930108381272,4
2024-10-16,Toys,Puzzle,Puzzle Ut,Samarth Chatterjee,East,249808.2,56964.33,22.803226635474736,4
2024-10-09,Furniture,Cabinet,Cabinet Odit,Ojas Konda,West,74526.3,17899.47,24.017655512215153,3
2025-05-16,Home Decor,Vase,Vase Necessitatibus,Heer Saran,West,17748.0,4403.6,24.811809781383822,2
2025-04-30,Sports,Football,Football Eveniet,Manikya Dar,West,88325.0,17529.47,19.846555335409004,5
2024-04-09,Kitchen,Cookware Set,Cookware Set Nisi,Azad Kunda,South,23376.7,5552.74,23.75330991970637,2
2025-01-26,Kitchen,Juicer,Juicer Totam,Drishya Apte,West,50517.0,2567.28,5.082011995961755,5
2023-12-27,Toys,Action Figure,Action Figure Cum,Shray Arya,West,268348.4,50743.1,18.909410303918335,4
2024-06-23,Books,Biography,Biography Nobis,Ritvik Madan,South,95604.6,19263.79,20.149438416143155,3
2024-06-22,Kitchen,Juicer,Juicer Vero,Purab Batta,North,69994.0,11129.92,15.901248678458154,2
2025-05-28,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,Purab Krishna,West,128829.6,14012.66,10.876894750895756,2
2024-02-23,Books,Biography,Biography Ad,Manikya Srinivasan,West,184946.0,30144.65,16.299162998929418,5
2023-11-24,Home Decor,Vase,Vase Molestiae,Raghav Gara,East,19506.0,2911.1,14.924125909976418,1
2025-01-02,Sports,Tennis Racket,Tennis Racket At,Raghav Sabharwal,East,217021.5,52730.72,24.297463615356083,5
2024-08-31,Sports,Tennis Racket,Tennis Racket Ipsa,Tanya Vora,South,7686.45,387.48,5.041078781492106,3
2025-06-18,Toys,RC Car,RC Car Eius,Mannat Dhaliwal,East,152569.6,13719.94,8.99257781366668,4
2025-04-01,Home Decor,Cushion,Cushion Quis,Drishya Korpal,North,33613.25,4294.42,12.775973760347481,1
2024-03-14,Toys,Puzzle,Puzzle Nesciunt,Vritika Gade,West,258344.75,33333.56,12.902743330375399,5
2024-12-09,Toys,Action Figure,Action Figure Placeat,Neysa Ganguly,North,20828.0,2957.26,14.198482811599773,1
2025-01-17,Clothing,Kids Wear,Kids Wear Aut,Adah Kaul,West,188392.5,36655.65,19.45706437358175,5
2025-03-04,Kitchen,Cookware Set,Cookware Set Libero,Shalv Subramaniam,North,275673.6,39540.52,14.343237800065003,4
2024-04-10,Electronics,Camera,Camera Nostrum,Chirag Hans,South,53998.4,6954.99,12.879992740525644,2
2024-07-05,Kitchen,Refrigerator,Refrigerator Sequi,Saanvi Deshmukh,West,156447.6,8166.96,5.220252659676467,4
2025-02-17,Beauty,Lipstick,Lipstick At,Yakshit Bajwa,West,249403.5,15673.19,6.284270268861504,5
2023-12-05,Furniture,Cabinet,Cabinet Nobis,Jayan Lall,South,25949.25,1306.37,5.034326618303033,5
2024-12-13,Sports,Yoga Mat,Yoga Mat Deserunt,Kashvi Bakshi,South,4714.0,547.63,11.617098005939754,1
2025-06-20,Sports,Tennis Racket,Tennis Racket Cupiditate,Myra Goda,East,112212.0,22964.29,20.465092859943677,4
2024-07-20,Home Decor,Vase,Vase Similique,Jayesh Ramachandran,West,7141.6,1373.47,19.231964825809342,1
2024-11-01,Furniture,Cabinet,Cabinet Natus,Hazel Reddy,East,15443.2,1764.79,11.427618628263572,1
2025-06-02,Toys,Board Game,Board Game Sequi,Shamik Keer,East,44480.0,8602.03,19.339096223021585,2
2024-03-29,Groceries,Oil,Oil Modi,Saira Trivedi,West,186516.0,23035.44,12.350382808981534,3
2023-11-15,Sports,Tennis Racket,Tennis Racket Aperiam,Baiju Dube,North,187425.5,44132.79,23.546843945994542,5
2024-12-25,Books,Comics,Comics Voluptatibus,Ehsaan Butala,South,130628.8,15353.38,11.753441813750106,4
2025-02-26,Clothing,Kids Wear,Kids Wear Ipsa,Bhavin Toor,West,180485.6,19220.42,10.649281715549606,4
2025-06-08,Beauty,Lipstick,Lipstick Nostrum,Romil Sawhney,East,181968.0,26322.7,14.465565374131717,3
2025-01-29,Electronics,Camera,Camera Ipsa,Mamooty Mannan,North,62529.4,13309.3,21.284867598281767,1
2025-01-11,Furniture,Sofa,Sofa Quaerat,Reyansh Saraf,East,123785.0,24340.25,19.663327543725007,5
2025-01-08,Beauty,Perfume,Perfume Qui,Jayesh Madan,South,276267.6,35015.76,12.674580732594052,4
2024-01-12,Electronics,Camera,Camera Temporibus,Kiaan Ranganathan,East,65308.8,5824.16,8.917879366945956,2
2024-05-31,Groceries,Spices,Spices Reiciendis,Riya Varughese,West,72549.0,17203.3,23.712663165584637,3
2024-10-17,Groceries,Oil,Oil Non,Yasmin Warrior,East,66388.4,12866.73,19.380991257508843,4
2023-11-26,Books,Fiction,Fiction Nemo,Vihaan Bhalla,West,270185.0,58810.96,21.766922664100523,5
2024-02-12,Sports,Yoga Mat,Yoga Mat Optio,Eshani Sani,South,319065.0,36797.04,11.532772319119928,5
2023-12-24,Electronics,Mobile,Mobile Harum,Arnav Badami,North,201636.0,41541.42,20.602184133785634,3
2025-06-16,Clothing,Accessories,Accessories Natus,Umang Virk,South,47480.4,10986.33,23.13866353274193,4
2024-11-04,Sports,Dumbbells,Dumbbells Quos,Ira Soni,East,4096.8,888.13,21.67862722124585,4
2025-08-14,Furniture,Sofa,Sofa Repudiandae,Arnav Karpe,East,304904.0,22939.07,7.523374570356571,5
2025-02-10,Toys,Doll,Doll Totam,Hansh Kaul,West,79924.65,18762.37,23.475073084461428,3
2023-11-17,Home Decor,Lamp,Lamp Pariatur,Ela Srivastava,North,208549.2,40557.88,19.447631542101334,4
2024-05-19,Furniture,Table,Table Laudantium,Elakshi Sachdev,West,6898.4,677.28,9.817928795082919,1
2024-10-27,Sports,Dumbbells,Dumbbells Aspernatur,Emir Ramanathan,South,117254.7,7179.82,6.1232684062984255,3
2024-06-08,Clothing,Kids Wear,Kids Wear Architecto,Prisha Shenoy,South,58896.0,11457.13,19.453154713393097,5
2024-09-07,Furniture,Bed,Bed Officiis,Parinaaz Luthra,North,40468.5,3617.94,8.940138626339005,1
2025-01-05,Toys,RC Car,RC Car Incidunt,Aarna Bandi,West,103759.2,25441.67,24.51991726998666,4
2024-10-22,Electronics,Camera,Camera Dignissimos,Rasha Bansal,North,54538.2,10554.74,19.352930606437326,2
2024-04-12,Kitchen,Microwave,Microwave Vero,Alisha Amble,North,71352.0,5019.37,7.034659154613745,2
2023-10-04,Furniture,Table,Table Repudiandae,Aniruddh Ratti,South,77522.4,10882.22,14.03751689834164,3
2023-11-30,Home Decor,Cushion,Cushion Dignissimos,Ishita Bajwa,South,234651.0,18949.32,8.075533451807152,3
2024-11-23,Toys,Board Game,Board Game Earum,Farhan Sarkar,South,81404.5,8267.53,10.156109305996598,5
2025-05-15,Kitchen,Juicer,Juicer In,Aniruddh Kothari,West,82528.0,4856.22,5.884330166731291,4
2024-05-10,Beauty,Lipstick,Lipstick Soluta,Samar Kumar,East,210627.0,20117.45,9.551220878614803,3
2025-01-30,Kitchen,Microwave,Microwave Aperiam,Ishaan Golla,East,33261.4,4190.2,12.597786022235985,4
2024-09-26,Kitchen,Microwave,Microwave Reiciendis,Aniruddh Wagle,West,197908.0,38220.91,19.312463366816907,5
2025-01-10,Sports,Yoga Mat,Yoga Mat Vel,Nishith Tara,South,46036.0,9505.54,20.648058041532718,1
2025-05-16,Sports,Football,Football Eum,Yakshit Bakshi,South,111324.8,9680.25,8.695501810917245,2
2025-04-25,Electronics,Laptop,Laptop Amet,Navya Amble,South,6284.0,888.46,14.138446849140676,1
2025-06-23,Groceries,Spices,Spices Non,Heer Lata,North,253683.2,28531.58,11.24693318280438,4
2024-12-02,Clothing,Shoes,Shoes Recusandae,Jiya Tandon,North,52972.8,2832.75,5.347555726712576,3
2024-11-22,Kitchen,Juicer,Juicer Deleniti,Divyansh Kale,North,51998.75,10749.96,20.673496959061513,1
2024-06-03,Books,Fiction,Fiction Necessitatibus,Raunak Raj,East,135236.7,16863.94,12.46994343990943,3
2025-02-09,Groceries,Oil,Oil Laboriosam,Mehul Magar,North,54820.8,8867.14,16.17477307883139,3
2024-11-12,Home Decor,Cushion,Cushion Id,Gatik Sharma,West,58821.0,9062.46,15.406844494313255,3
2025-07-31,Furniture,Table,Table Placeat,Dhanuk Dhar,North,24144.3,4041.1,16.73728374813103,1
2024-03-07,Groceries,Spices,Spices Error,Kavya Varty,South,132863.5,12796.17,9.63106496517102,5
2024-07-03,Electronics,Headphones,Headphones Id,Ishaan Walia,South,234707.0,30160.38,12.850226026492606,4
2024-08-22,Clothing,Women's Wear,Women's Wear Ipsa,Oorja Sur,East,9478.4,583.27,6.1536757258609045,4
2024-08-01,Toys,Puzzle,Puzzle Placeat,Dharmajan Lall,East,45081.45,2373.83,5.265646956785995,3
2024-01-23,Furniture,Sofa,Sofa Nulla,Shanaya Kala,North,67413.5,6655.67,9.872903795233892,1
2024-08-06,Electronics,Camera,Camera Culpa,Rati Goel,South,126426.0,12467.79,9.86172939110626,4
2024-03-24,Toys,Doll,Doll Adipisci,Ivan Sarna,West,102394.8,10207.76,9.969021864391552,3
2025-03-26,Toys,Board Game,Board Game Animi,Akarsh Hayre,East,59316.1,4810.78,8.110411844339058,1
2024-10-18,Furniture,Bed,Bed Accusantium,Hrishita Bajaj,West,164648.0,22384.0,13.595063407997667,4
2025-01-15,Electronics,Mobile,Mobile Aspernatur,Prerak Shere,East,298588.8,66122.26,22.144923051366963,4
2025-08-13,Books,Non-Fiction,Non-Fiction Quae,Kartik Seth,East,109599.6,26199.38,23.904631038799412,3
2024-09-29,Clothing,Kids Wear,Kids Wear Tempora,Riya Brahmbhatt,South,46366.2,11129.47,24.003411968200975,1
2023-12-05,Electronics,Mobile,Mobile Ea,Yuvraj  Bhardwaj,North,77892.0,7594.54,9.750089868022389,3
2024-04-20,Furniture,Cabinet,Cabinet Voluptatum,Shamik Buch,East,181640.0,26909.05,14.814495705791675,5
2024-04-02,Sports,Tennis Racket,Tennis Racket Asperiores,Divij Dara,South,81556.0,19814.83,24.29598067585463,2
2024-08-14,Sports,Football,Football Dolores,Jivin Hans,East,105198.25,7812.18,7.426150149836143,5
2024-11-13,Furniture,Table,Table Tenetur,Vaibhav Rattan,South,41459.6,9356.05,22.566667309863096,1
2024-01-01,Electronics,Smartwatch,Smartwatch Eum,Nayantara Kalita,West,127163.4,8863.77,6.970378269218974,2
2024-01-14,Kitchen,Mixer Grinder,Mixer Grinder Porro,Shaan Sehgal,North,61952.0,5189.49,8.376630294421487,1
2024-06-14,Kitchen,Juicer,Juicer Reiciendis,Dhruv Garg,East,40736.95,3037.21,7.455663715619358,1
2024-03-04,Books,Non-Fiction,Non-Fiction Commodi,Kavya Lanka,West,40338.0,6759.61,16.75742476077148,4
2025-08-24,Toys,Puzzle,Puzzle Repellendus,Fateh Tripathi,North,255584.2,24050.17,9.409881361993424,4
2025-08-25,Groceries,Spices,Spices Suscipit,Manikya Bhattacharyya,South,59092.2,14240.48,24.09874738121106,3
2025-07-11,Kitchen,Microwave,Microwave Officiis,Tiya Mani,North,26532.0,3837.38,14.46321423187095,3
2023-12-29,Kitchen,Cookware Set,Cookware Set Quo,Vihaan Loyal,West,92579.4,14375.96,15.52824926495527,3
2023-12-12,Home Decor,Clock,Clock Itaque,Ritvik Vyas,North,49451.3,8546.38,17.28241724686712,2
2024-12-22,Beauty,Foundation,Foundation Nihil,Ivana Hegde,West,166538.8,17272.57,10.371499014043575,4
2024-04-07,Toys,Action Figure,Action Figure Enim,Vardaniya Ramaswamy,East,33337.85,2238.25,6.713840274642786,1
2025-02-03,Toys,RC Car,RC Car In,Ela Chakraborty,North,54312.0,10936.17,20.135826336721166,1
2025-06-21,Clothing,Kids Wear,Kids Wear Aliquid,Taimur Tara,East,15748.0,2754.67,17.49218948437897,1
2024-07-31,Electronics,Headphones,Headphones Labore,Hrishita Chanda,West,122479.2,10609.67,8.66242594660971,2
2025-09-26,Home Decor,Clock,Clock Officia,Myra Handa,West,42325.0,8053.7,19.028233904311872,5
2024-07-22,Furniture,Sofa,Sofa Dolor,Anvi Mammen,East,51013.6,4109.49,8.055675349318612,1
2024-09-14,Books,Biography,Biography Mollitia,Shamik Walla,East,215890.0,19440.44,9.004789476122099,5
2024-06-21,Kitchen,Juicer,Juicer Possimus,Inaaya  Tandon,South,190404.25,16507.93,8.669937777124199,5
2025-08-21,Home Decor,Cushion,Cushion Quasi,Shayak Sekhon,North,270461.2,51178.34,18.922618105665432,4
2025-09-18,Books,Comics,Comics Ad,Mehul Wable,West,108018.8,15879.48,14.700663217884294,2
2025-04-01,Furniture,Table,Table Expedita,Raghav Samra,West,20825.85,3866.48,18.565772825598955,3
2024-04-07,Sports,Dumbbells,Dumbbells Voluptatem,Kiara Saha,West,106979.4,24846.59,23.225583617032814,2
2024-03-21,Groceries,Wheat,Wheat Beatae,Yasmin Kamdar,South,127023.0,22887.76,18.018595057587994,3
2025-07-28,Sports,Tennis Racket,Tennis Racket Doloremque,Inaaya  Walla,North,104535.0,22068.31,21.11092935380495,5
2024-06-29,Sports,Football,Football Nesciunt,Saira Kapoor,East,119370.0,25753.35,21.574390550389545,3
2024-10-29,Kitchen,Mixer Grinder,Mixer Grinder Officia,Uthkarsh Grewal,North,40274.7,4036.0,10.021179549444192,3
2025-01-16,Clothing,Men's Wear,Men's Wear Quos,Amira Chakraborty,South,10635.0,1958.69,18.4173953925717,1
2025-04-16,Toys,Action Figure,Action Figure Dolor,Nakul Srivastava,East,58458.6,6815.4,11.65850704601205,1
2024-09-28,Furniture,Bed,Bed Eius,Saanvi Vasa,East,37815.2,3812.6,10.08218917260784,1
2023-12-23,Beauty,Face Cream,Face Cream Id,Ritvik Agarwal,North,90019.25,4561.6,5.067360592317755,5
2024-06-17,Electronics,Camera,Camera At,Yasmin Sachdeva,North,80742.0,17592.37,21.788375318917044,2
2024-11-13,Toys,Board Game,Board Game Ab,Sara Chaudry,West,85212.0,9790.15,11.489168192273388,5
2024-10-21,Furniture,Cabinet,Cabinet A,Aarush Vig,East,35492.8,8735.61,24.61234391200469,1
2025-03-25,Books,Biography,Biography Deserunt,Drishya Dasgupta,West,54330.0,8921.7,16.421314191054666,1
2024-08-03,Groceries,Oil,Oil In,Jayan Sidhu,South,89446.4,11672.93,13.0501954242988,4
2024-08-02,Clothing,Accessories,Accessories Culpa,Jivin Kaul,South,50035.0,11418.45,22.820925352253425,5
2023-12-02,Home Decor,Lamp,Lamp Exercitationem,Aaina Lalla,East,16344.0,3724.06,22.785487028879096,2
2025-02-27,Electronics,Mobile,Mobile Magnam,Aayush Setty,East,122152.5,24218.26,19.826249974417223,5
2024-10-09,Beauty,Perfume,Perfume Neque,Jivin Cheema,South,295896.0,36664.27,12.390931273150024,4
2025-04-20,Sports,Cricket Bat,Cricket Bat Delectus,Ritvik Shah,North,139745.0,17301.9,12.38105120040073,4
2024-08-03,Kitchen,Cookware Set,Cookware Set Minima,Samiha Halder,South,14562.2,2893.23,19.868083119308892,2
2024-06-23,Toys,Puzzle,Puzzle Nulla,Emir Subramaniam,South,20072.0,2542.42,12.66650059784775,2
2023-12-04,Furniture,Chair,Chair Veniam,Lakshay Kari,North,122288.4,16649.69,13.615101677673433,4
2023-10-19,Clothing,Shoes,Shoes Dolores,Navya Vora,East,46475.2,7880.96,16.957344992598202,2
2024-08-22,Home Decor,Wall Art,Wall Art Quidem,Prerak Chakrabarti,East,51401.2,2930.42,5.701073126697432,4
2025-05-14,Sports,Football,Football Architecto,Vedika Sane,East,87415.2,6313.56,7.222496774016419,4
2023-10-10,Books,Non-Fiction,Non-Fiction Aliquid,Khushi Chada,South,45990.4,10796.45,23.475442701085445,1
2024-08-16,Kitchen,Refrigerator,Refrigerator Quibusdam,Mehul Lala,West,64983.8,10469.59,16.111076914554086,1
2025-01-02,Furniture,Sofa,Sofa Voluptas,Lagan Walla,North,92333.8,8406.91,9.10491066110135,4
2024-08-24,Sports,Yoga Mat,Yoga Mat Nam,Manikya Wali,West,13561.0,1296.86,9.56315905906644,1
2024-04-17,Furniture,Table,Table Iusto,Hunar Sastry,West,259477.2,34177.07,13.171511793714439,4
2024-01-22,Clothing,Accessories,Accessories Aspernatur,Tarini Talwar,West,114370.5,17660.94,15.44186656524191,3
2024-06-20,Furniture,Sofa,Sofa Dolorum,Dharmajan Sampath,West,87190.2,19167.89,21.983995907796977,2
2024-10-30,Beauty,Face Cream,Face Cream Necessitatibus,Yakshit Tank,North,203480.0,18437.07,9.060875761745626,5
2024-07-11,Clothing,Men's Wear,Men's Wear Quia,Nishith Bora,West,62884.7,6713.01,10.675108571719354,1
2024-05-03,Toys,Board Game,Board Game Ipsa,Riya Thaker,East,87123.2,7321.18,8.403249651068831,4
2024-02-10,Toys,Doll,Doll Soluta,Baiju Barman,North,75977.2,11786.61,15.513351373833203,2
2025-09-06,Sports,Dumbbells,Dumbbells Unde,Damini Kohli,West,234302.4,21939.1,9.36358313017707,4
2025-05-16,Groceries,Rice,Rice Odit,Hansh Bali,East,61922.9,11144.15,17.996815394627834,2
2025-01-15,Clothing,Kids Wear,Kids Wear Sed,Stuvan Arora,West,52744.5,5396.94,10.23223274464636,3
2024-05-13,Books,Non-Fiction,Non-Fiction Occaecati,Devansh Bhatti,West,79434.0,9292.82,11.69879396731878,4
2024-09-14,Beauty,Shampoo,Shampoo Provident,Devansh Bains,West,92262.1,6636.68,7.193289552264689,2
2024-12-27,Sports,Cricket Bat,Cricket Bat Minus,Dhruv Srinivasan,West,142437.0,13234.4,9.291406025119878,3
2023-12-24,Electronics,Headphones,Headphones Similique,Chirag Grewal,East,178082.25,27415.31,15.39474596710228,3
2024-03-16,Groceries,Spices,Spices Incidunt,Kimaya Mallick,West,89119.5,6850.32,7.6866679009644345,5
2024-05-06,Electronics,Headphones,Headphones Maiores,Purab Boase,South,342567.0,48726.33,14.22388321116745,5
2025-03-20,Clothing,Women's Wear,Women's Wear Iste,Ritvik Suri,West,108990.0,22383.22,20.536948343884763,2
2024-01-11,Groceries,Oil,Oil Sunt,Samarth Sibal,South,122091.15,30284.02,24.804435047093914,3
2024-03-03,Furniture,Sofa,Sofa Vel,Ranbir Randhawa,South,85060.0,4989.48,5.865835880554902,4
2025-07-17,Furniture,Bed,Bed Architecto,Pihu Srinivasan,South,129863.85,11599.47,8.932023808011236,3
2025-03-08,Books,Fiction,Fiction Dolorem,Hunar Mand,East,99263.0,7993.99,8.053343138933942,4
2024-12-01,Sports,Tennis Racket,Tennis Racket Rem,Fateh Shroff,North,159880.0,13769.85,8.612615711783839,5
2025-03-07,Electronics,Headphones,Headphones Recusandae,Piya Korpal,North,69008.4,15768.95,22.850768891903016,4
2024-11-22,Toys,RC Car,RC Car Quam,Dishani Ranganathan,South,32323.8,4419.76,13.67339236104666,3
2025-01-10,Beauty,Shampoo,Shampoo Rem,Raunak Krishnamurthy,West,56188.4,9406.6,16.741177894369656,4
2024-03-03,Furniture,Chair,Chair Sint,Devansh Karnik,South,14059.0,765.58,5.445479763852337,4
2024-10-02,Beauty,Lipstick,Lipstick Atque,Misha Setty,West,43432.1,8765.28,20.18157077369043,2
2025-09-04,Books,Non-Fiction,Non-Fiction Porro,Hridaan Karnik,West,131653.1,24358.19,18.50179752698569,2
2023-11-12,Kitchen,Mixer Grinder,Mixer Grinder Aperiam,Jayesh Kalita,West,212187.0,12130.56,5.716919509677784,3
2024-05-14,Kitchen,Mixer Grinder,Mixer Grinder Placeat,Madhav Jaggi,West,288705.0,70358.14,24.370253372820006,5
2024-07-18,Groceries,Rice,Rice Ullam,Priyansh Gour,North,295357.5,58308.1,19.741533565255665,5
2025-09-03,Groceries,Spices,Spices Cum,Shray Dugar,North,47052.9,10506.97,22.33012205411356,3
2024-05-04,Clothing,Accessories,Accessories Est,Rhea Ratti,South,187681.5,30495.34,16.24845283099293,5
2024-08-07,Kitchen,Cookware Set,Cookware Set Nihil,Akarsh Kala,West,31020.0,2254.01,7.26631205673759,3
2024-11-06,Sports,Cricket Bat,Cricket Bat Ex,Neysa Kothari,East,91043.2,17254.47,18.951959069979967,4
2024-02-16,Home Decor,Wall Art,Wall Art Earum,Shaan Seth,North,37200.0,7575.46,20.364139784946236,1
2024-11-28,Home Decor,Clock,Clock Optio,Adira Dar,South,235353.6,32457.28,13.790857671180726,4
2025-08-14,Home Decor,Clock,Clock Maiores,Mehul Bose,East,147336.45,21418.07,14.53684407354731,3
2025-07-17,Groceries,Sugar,Sugar Iusto,Reyansh Mahajan,East,33952.4,7336.34,21.607721398192766,1
2025-02-04,Beauty,Shampoo,Shampoo Libero,Dhruv Bhattacharyya,West,59052.8,3756.64,6.361493443155955,4
2024-12-14,Electronics,Headphones,Headphones Exercitationem,Advika Ramakrishnan,South,60444.0,5067.9,8.384455032757593,2
2024-02-01,Books,Biography,Biography Deleniti,Eshani Anand,South,29894.5,7348.88,24.582715884192748,5
2025-07-15,Electronics,Headphones,Headphones Doloribus,Vardaniya Borra,East,229340.0,28515.03,12.433517920990669,5
2024-10-26,Clothing,Women's Wear,Women's Wear Delectus,Misha Batra,South,32734.8,4322.02,13.20313550105698,4
